Player;матчей;мах;мин мах;минут;%
Nikita Medvedev;18;18;1620;1620;100,0
Ivan Kukushkin;0;18;1620;0;0,0
Vadim Lukyanov;0;18;1620;0;0,0
Viktor Aleksandrov;9;18;1620;685;42,3
Kirill Bozhenov;14;18;1620;782;48,3
Artem Varganov;0;18;1620;0;0,0
Danila Vedernikov;5;18;1620;331;20,4
Kirill Glushchenkov;1;18;1620;24;1,5
Kirill Gotsuk;15;18;1620;1019;62,9
Nikita Kakkoyev;15;18;1620;1259;77,7
Stanislav Magkeev;9;18;1620;595;36,7
Mateo Stamatov;12;18;1620;816;50,4
Artem Chistyakov;1;14;1260;6;0,5
Maksim Shnaptsev;5;18;1620;260;16,0
Sven Šoštarič Karič;9;9;810;733;90,5
Aleksandr Ektov;13;15;1350;1170;86,7
Valeri Tsarukyan;13;18;1620;492;30,4
Aleksandr Troshechkin;13;18;1620;549;33,9
Anton Mukhin;10;18;1620;432;26,7
Vladislav Karapuzov;8;18;1620;201;12,4
Nikolay Kalinsky;16;18;1620;1352;83,5
Dmitrii Kalaida;0;18;1620;0;0,0
Nikita Ermakov;16;18;1620;781;48,2
Dan Glazer;10;18;1620;518;32,0
Luka Vešner Tičić;17;18;1620;1177;72,7
Juan Manuel Boselli;16;18;1620;1172;72,3
Zé Turbo;14;18;1620;477;29,4
Nikoloz Kutateladze;3;18;1620;32;2,0
Ognjen Ožegović;16;18;1620;987;60,9
Dmitri Tikhiy;4;11;990;313;31,6
